
20260125-2142;2026-01-25;Ambulanser;Røde Kors Ambulansen Bergen;2025-12-26;2026-01-25;30;18870,00;4717,50;23587,50;;false
20260130-0442;2026-01-30;Ambulanser;Røde Kors Ambulansen Bergen;2025-12-31;2026-01-30;37;23273,00;5818,25;29091,25;;false
